Ticker,Date, Open, High, Low, Close, Volume, Volume Weight, Number of Transactions
AMD, 2020-03-08, 43.03, 46.34, 42.51, 43.27, 80856174.0,44.4766, 342334
AMD, 2020-03-09, 45.41, 45.44, 43.1, 45.38, 76228247.0,44.5546, 337469
AMD, 2020-03-10, 44.19, 45.97, 43.8, 45.7, 102319010.0,45.1026, 488474
AMD, 2020-03-11, 42, 42.5, 39, 39.01, 107461521.0,40.7155, 448038
AMD, 2020-03-12, 42.2, 43.91, 39.6, 43.9, 86689681.0,41.6701, 381223
AMD, 2020-03-15, 39.08, 43.37, 38.51, 38.71, 84545868.0,41.0812, 374962
AMD, 2020-03-16, 40.19, 42.88, 38.3, 41.88, 92741881.0,41.124, 434519
AMD, 2020-03-17, 39.54, 41.95, 36.75, 39.12, 106949287.0,39.6363, 591862
AMD, 2020-03-18, 39.56, 41.7, 37.69, 39.82, 88939024.0,40.2337, 396388
AMD, 2020-03-19, 41.51, 42.4825, 39.58, 39.61, 106859502.0,41.2299, 533411
AMD, 2020-03-22, 40.62, 42.32, 38.95, 41.64, 101704663.0,40.7188, 493186
AMD, 2020-03-23, 44.04, 46.81, 43.99, 46.22, 106794151.0,45.7175, 535460
AMD, 2020-03-24, 46.79, 47.875, 44.425, 44.63, 93760389.0,46.5954, 488900
AMD, 2020-03-25, 45.78, 47.5, 45.4, 47.5, 73915608.0,46.7201, 379715
AMD, 2020-03-26, 46.32, 47.975, 45.9, 46.58, 74599218.0,47.1068, 376711
AMD, 2020-03-29, 47.24, 48.46, 46.66, 47.86, 68486602.0,47.8113, 346822
AMD, 2020-03-30, 47.925, 48.53, 45.16, 45.48, 83483749.0,46.9889, 414446
AMD, 2020-03-31, 44.18, 46.85, 43.16, 43.66, 92083081.0,44.9559, 421006
AMD, 2020-04-01, 43.4, 45.28, 43.1, 44.49, 79024133.0,44.2178, 368530
AMD, 2020-04-02, 44.3, 44.8393, 41.7, 42.59, 79334966.0,43.0584, 345992
AMD, 2020-04-05, 44.3, 47.58, 44.06, 47.52, 82293964.0,46.0197, 367010
AMD, 2020-04-06, 48.96, 49.65, 46.675, 47.56, 102098689.0,48.2654, 456174
AMD, 2020-04-07, 48.07, 49, 47.61, 48.79, 64930779.0,48.4781, 288314
AMD, 2020-04-08, 49.65, 50.25, 47.72, 48.38, 80357393.0,49.2513, 372619
AMD, 2020-04-12, 48.47, 51.07, 48.23, 50.94, 64248112.0,49.8272, 315983
AMD, 2020-04-13, 52.235, 55.14, 52.11, 54.93, 85306750.0,54.1764, 411068
AMD, 2020-04-14, 53.73, 55.5699, 53.41, 54.99, 83814033.0,54.6795, 340554
AMD, 2020-04-15, 55.96, 58.08, 55.63, 56.95, 103106456.0,56.7157, 444953
AMD, 2020-04-16, 57.35, 57.755, 55.55, 56.6, 76908783.0,56.6176, 359731
AMD, 2020-04-19, 55.98, 58.63, 55.85, 56.97, 72367258.0,57.5874, 329989
AMD, 2020-04-20, 56.9, 57.73, 51.41, 52.92, 123906390.0,53.8393, 603204
AMD, 2020-04-21, 54.91, 56.15, 54.34, 55.92, 63162386.0,55.2424, 284023
AMD, 2020-04-22, 56.65, 57.285, 55.64, 55.9, 69648827.0,56.5438, 300001
AMD, 2020-04-23, 55.1, 56.78, 54.42, 56.18, 72854752.0,55.6901, 311178
AMD, 2020-04-26, 57.44, 58, 56.25, 56.49, 62568062.0,57.063, 267589
AMD, 2020-04-27, 57.16, 57.35, 55.3, 55.51, 80501820.0,55.9587, 369849
AMD, 2020-04-28, 54.53, 54.86, 52.74, 53.66, 110800859.0,53.8112, 555298
AMD, 2020-04-29, 53.43, 54.29, 52.03, 52.39, 65543944.0,53.1129, 330196
AMD, 2020-04-30, 51.07, 51.95, 49.09, 49.88, 68862656.0,50.0906, 345717
AMD, 2020-05-03, 49.815, 52.61, 49.73, 52.56, 62590077.0,51.3016, 309058
AMD, 2020-05-04, 53.43, 53.51, 51.29, 52.19, 56560532.0,52.6788, 277174
AMD, 2020-05-05, 52.42, 53.31, 51.88, 52.16, 48138123.0,52.6376, 245530
AMD, 2020-05-06, 52.93, 52.9666, 51.62, 51.95, 48956641.0,52.1099, 245591
AMD, 2020-05-07, 52.15, 53.27, 51.81, 53.19, 40774186.0,52.7813, 198945
AMD, 2020-05-10, 52.9, 55.89, 52.75, 55.74, 68745090.0,55.0193, 318117
AMD, 2020-05-11, 56.2065, 56.58, 53.75, 53.76, 55631098.0,55.3257, 271877
AMD, 2020-05-12, 54.04, 55.22, 51.295, 52.18, 76824714.0,52.9072, 347212
AMD, 2020-05-13, 52.1, 54.54, 51.61, 54.51, 73796749.0,52.9794, 351418
AMD, 2020-05-14, 53.32, 54.435, 52.86, 54.2, 66950863.0,53.7448, 301280
AMD, 2020-05-17, 54.98, 55.25, 54.24, 54.59, 48676913.0,54.6918, 246013
AMD, 2020-05-18, 54.39, 56.73, 54.36, 55.47, 60388543.0,56.0089, 319776
AMD, 2020-05-19, 56.55, 56.98, 55.625, 56.39, 50888191.0,56.262, 248371
AMD, 2020-05-20, 56.68, 56.72, 54.61, 54.65, 48496114.0,55.3116, 257715
AMD, 2020-05-21, 54.77, 55.3748, 53.78, 55.17, 43524110.0,54.7299, 234538
AMD, 2020-05-25, 56.01, 56.08, 53.02, 53.19, 51617378.0,54.5194, 278990
AMD, 2020-05-26, 53.27, 53.28, 49.09, 52.74, 102414387.0,51.1533, 569522
AMD, 2020-05-27, 52.25, 53.54, 51.25, 51.74, 53743966.0,52.7968, 265094
AMD, 2020-05-28, 52.07, 53.8, 51.85, 53.8, 64948312.0,52.7172, 297182
AMD, 2020-05-31, 53.31, 54.11, 52.89, 53.63, 36948719.0,53.5324, 200427
AMD, 2020-06-01, 53.45, 53.57, 52.01, 53.54, 42855210.0,52.8956, 226922
AMD, 2020-06-02, 53.5965, 53.65, 52.33, 52.73, 46765332.0,52.7575, 259508
AMD, 2020-06-03, 52.59, 53.74, 52.2, 52.63, 44869090.0,52.8519, 235315
AMD, 2020-06-04, 52.99, 53.57, 52.08, 53.1, 53907973.0,52.855, 298568
AMD, 2020-06-07, 53.3, 53.35, 52.26, 52.97, 39679149.0,52.7057, 221271
AMD, 2020-06-08, 52.9497, 56.46, 52.72, 56.39, 79919140.0,55.4377, 401733
AMD, 2020-06-09, 57.2, 59, 57.03, 57.44, 78718310.0,58.0486, 431437
AMD, 2020-06-10, 55.94, 56.68, 52.8, 52.83, 78714762.0,54.674, 452816
AMD, 2020-06-11, 55.01, 55.6, 52.11, 53.5, 71188070.0,53.7078, 405866
AMD, 2020-06-14, 52.58, 54.73, 52.4128, 54.68, 56738673.0,53.7922, 323977
AMD, 2020-06-15, 55.72, 56.07, 53.59, 54.46, 50949045.0,54.6842, 294669
AMD, 2020-06-16, 54.79, 55.82, 54.3, 54.55, 45146545.0,54.9728, 221871
AMD, 2020-06-17, 54.62, 55.1225, 53.65, 54.04, 40354724.0,54.1832, 204740
AMD, 2020-06-18, 54.41, 55.455, 53.815, 54.23, 52801461.0,54.5448, 240947
AMD, 2020-06-21, 54.67, 55.17, 53.74, 54.76, 44704781.0,54.4843, 221920
AMD, 2020-06-22, 55.05, 55.37, 53.87, 53.99, 48089011.0,54.553, 234620
AMD, 2020-06-23, 53.94, 54.74, 51.92, 52.39, 53535548.0,52.9574, 309552
AMD, 2020-06-24, 52.56, 52.7, 50.54, 51.93, 51129614.0,51.5387, 287632
AMD, 2020-06-25, 51.85, 51.95, 49.45, 50.1, 65485729.0,50.6939, 304148
AMD, 2020-06-28, 50.15, 50.28, 48.42, 50.28, 49905313.0,49.4102, 316722
AMD, 2020-06-29, 51.16, 52.77, 50.82, 52.61, 42275739.0,52.1469, 240577
AMD, 2020-06-30, 52.63, 52.87, 51.6, 52.58, 32370945.0,52.3833, 204582
AMD, 2020-07-01, 53.0335, 53.19, 52.0508, 52.34, 29081425.0,52.4896, 176403
AMD, 2020-07-05, 52.9, 53.52, 52.33, 53.4, 36734061.0,53.0679, 208653
AMD, 2020-07-06, 53.28, 54.17, 52.86, 52.93, 32151169.0,53.4436, 198433
AMD, 2020-07-07, 53.01, 53.47, 52.07, 53.43, 35608338.0,52.7842, 199483
AMD, 2020-07-08, 53.52, 57.58, 53.31, 57.255, 87216264.0,55.8864, 457653
AMD, 2020-07-09, 57.54, 58.15, 55.51, 55.88, 59839688.0,56.4761, 336251
AMD, 2020-07-12, 56.68, 58.35, 53.38, 53.59, 57741821.0,56.1973, 352699
AMD, 2020-07-13, 53.3, 54.86, 52.26, 54.72, 54890110.0,53.7812, 333988
AMD, 2020-07-14, 54.96, 55.37, 53.59, 55.34, 42359979.0,54.5448, 252385
AMD, 2020-07-15, 54.68, 55.15, 53.74, 54.92, 36887082.0,54.4465, 206221
AMD, 2020-07-16, 55.31, 55.81, 54.68, 55.04, 34710407.0,55.1284, 182779
AMD, 2020-07-19, 55.23, 57.53, 54.83, 57.46, 45034250.0,56.5262, 258741
AMD, 2020-07-20, 57.805, 58.5, 56.3173, 57, 44800687.0,57.191, 254153
AMD, 2020-07-21, 57.07, 62, 56.97, 61.79, 135159420.0,60.7894, 660135
AMD, 2020-07-22, 61.63, 62.33, 58.6342, 59.57, 106829109.0,60.7143, 528958
AMD, 2020-07-23, 64.18, 69.94, 64.05, 69.4, 205312681.0,67.788, 1031918
AMD, 2020-07-26, 69.28, 71.63, 67.79, 68.97, 107916575.0,69.3636, 561593
AMD, 2020-07-27, 68.1, 69.8, 67.02, 67.61, 94181374.0,69.3758, 505970
AMD, 2020-07-28, 75.5, 77.19, 73.9, 76.09, 132969679.0,75.8991, 712825
AMD, 2020-07-29, 75.37, 78.96, 75.07, 78.2, 80286888.0,77.7439, 477601
AMD, 2020-07-30, 78.67, 78.96, 75.36, 77.43, 71675667.0,77.0789, 428394
AMD, 2020-08-02, 78.19, 78.5, 77.06, 77.67, 42628144.0,77.8689, 269799
AMD, 2020-08-03, 78.03, 85.805, 77.99, 85.04, 155676106.0,83.572, 702089
AMD, 2020-08-04, 84.96, 86.32, 83.32, 85.31, 65737306.0,85.1043, 386879
AMD, 2020-08-05, 85.49, 86.98, 84.7801, 86.71, 53961739.0,86.129, 313943
AMD, 2020-08-06, 86.67, 87.29, 82.6702, 84.85, 66543157.0,84.8831, 364163
AMD, 2020-08-09, 85.05, 85.16, 79.3221, 82.24, 70536143.0,81.9875, 389439
AMD, 2020-08-10, 80.71, 80.71, 76.1, 76.88, 77877661.0,78.8428, 459792
AMD, 2020-08-11, 78.43, 82.88, 77.55, 82.61, 88607829.0,81.0778, 453434
AMD, 2020-08-12, 82.88, 84.02, 81.54, 81.84, 57407355.0,82.5151, 331340
AMD, 2020-08-13, 81.81, 83.24, 80.88, 81.3, 42389477.0,81.7616, 255546
AMD, 2020-08-16, 82.09, 83.06, 81.552, 82.42, 31300155.0,82.4338, 182962
AMD, 2020-08-17, 82.8, 82.88, 81.03, 81.66, 30970483.0,81.7762, 192719
AMD, 2020-08-18, 81.7757, 81.85, 80.45, 81.09, 37507391.0,81.0916, 222405
AMD, 2020-08-19, 79.74, 82.84, 79.12, 82.77, 42948860.0,81.8028, 236273
AMD, 2020-08-20, 83.29, 84.41, 82.23, 83.81, 48280318.0,83.4242, 280186
AMD, 2020-08-23, 84.55, 85.33, 82.55, 83.08, 38035068.0,83.5673, 248442
AMD, 2020-08-24, 83.36, 86.62, 82.35, 86.35, 49234399.0,84.8235, 271432
AMD, 2020-08-25, 86.9694, 87.72, 85.2, 86.02, 47157273.0,86.1775, 291416
AMD, 2020-08-26, 86.35, 86.58, 82.94, 83.8, 42194222.0,84.3753, 265482
AMD, 2020-08-27, 84.3, 86.04, 84.19, 85.55, 40723268.0,85.1628, 254193
AMD, 2020-08-30, 85.05, 92.64, 85.05, 90.82, 90655945.0,90.0989, 474771
AMD, 2020-08-31, 91.92, 92.51, 90.1899, 92.18, 56102560.0,91.4198, 356439
AMD, 2020-09-01, 94.01, 94.28, 88.74, 90.22, 50365918.0,90.7119, 340960
AMD, 2020-09-02, 87.84, 88.47, 81.59, 82.54, 87462287.0,83.9462, 605939
AMD, 2020-09-03, 81.45, 84.39, 76.33, 82.01, 82267760.0,80.442, 573384
AMD, 2020-09-07, 78.05, 81.88, 78, 78.69, 54954472.0,79.9129, 360739
AMD, 2020-09-08, 81.4, 82.44, 79.28, 81.91, 53987878.0,81.2212, 337116
AMD, 2020-09-09, 83.07, 83.31, 78.38, 78.98, 51448396.0,80.7025, 330390
AMD, 2020-09-10, 79.82, 79.99, 75.04, 76.34, 54737990.0,77.2761, 354046
AMD, 2020-09-13, 76.8, 78.82, 76.26, 77.9, 47448681.0,77.6932, 268687
AMD, 2020-09-14, 77.66, 80.33, 75.97, 78.93, 57874428.0,78.5432, 333266
AMD, 2020-09-15, 79.35, 79.72, 76.54, 76.66, 38445668.0,77.9882, 228418
AMD, 2020-09-16, 74.88, 76.625, 74.2, 76.55, 55618800.0,75.529, 306278
AMD, 2020-09-17, 77, 77.4, 73.85, 74.93, 51082857.0,75.3428, 286664
AMD, 2020-09-20, 74.23, 77.98, 73.88, 77.94, 61280970.0,76.4957, 375111
AMD, 2020-09-21, 78.365, 78.79, 75.27, 77.7, 56044742.0,76.6441, 323948
AMD, 2020-09-22, 77.39, 77.91, 74.34, 74.73, 42155514.0,76.1627, 275337
AMD, 2020-09-23, 74.54, 77.25, 73.9, 75.82, 57540926.0,76.1503, 328250
AMD, 2020-09-24, 76.35, 78.2, 74.67, 78.055, 48206242.0,76.7342, 291114
AMD, 2020-09-27, 79.1165, 79.57, 77.52, 79.48, 48005488.0,78.6745, 271335
AMD, 2020-09-28, 79.3, 82.55, 79.3, 81.77, 61632172.0,81.2537, 351601
